MUNICIPIO_CODIGO;ANO;MES;TIPO_EQP;TOTAL_EQUIPES
110010;2020;12;75;1
110010;2021;12;75;1
110010;2022;12;75;1
110033;2021;12;75;1
110033;2022;12;75;1
120010;2020;12;75;1
120010;2021;12;75;1
120010;2022;12;75;1
120025;2022;12;75;1
120040;2021;12;75;2
120040;2022;12;75;2
130390;2022;12;75;1
150150;2021;12;75;1
150150;2022;12;75;1
150180;2022;12;75;1
150320;2022;12;75;2
150410;2022;12;75;1
150445;2021;12;75;1
150445;2022;12;75;1
150460;2021;12;75;1
150460;2022;12;75;1
150560;2022;12;75;1
150610;2021;12;75;1
150610;2022;12;75;1
150618;2021;12;75;1
150618;2022;12;75;1
150619;2022;12;75;1
150620;2021;12;75;1
150620;2022;12;75;1
150720;2022;12;75;1
150747;2021;12;75;1
150747;2022;12;75;1
170825;2021;12;75;1
170825;2022;12;75;1
170930;2021;12;75;1
170930;2022;12;75;1
171650;2022;12;75;1
210020;2021;12;75;1
210020;2022;12;75;1
210050;2022;12;75;1
210060;2021;12;75;1
210060;2022;12;75;1
210080;2021;12;75;1
210080;2022;12;75;1
210083;2022;12;75;1
210110;2022;12;75;1
210120;2021;12;75;3
210120;2022;12;75;3
210193;2021;12;75;1
210210;2021;12;75;1
210210;2022;12;75;1
210255;2021;12;75;1
210255;2022;12;75;1
210270;2021;12;75;1
210270;2022;12;75;1
210290;2022;12;75;1
210325;2021;12;75;1
210325;2022;12;75;1
210330;2019;12;60;1
210330;2020;12;75;1
210330;2021;12;75;1
210330;2022;12;75;1
210375;2021;12;75;1
210375;2022;12;75;1
210455;2021;12;75;1
210455;2022;12;75;1
210490;2021;12;75;1
210490;2022;12;75;1
210530;2021;12;75;3
210530;2022;12;75;3
210550;2021;12;75;1
210550;2022;12;75;1
210596;2021;12;75;1
210596;2022;12;75;1
210598;2021;12;75;1
210667;2021;12;75;1
210667;2022;12;75;1
210680;2022;12;75;1
210690;2022;12;75;1
210700;2021;12;75;1
210700;2022;12;75;1
210760;2022;12;75;1
210770;2022;12;75;1
210825;2021;12;75;1
210825;2022;12;75;1
210920;2022;12;75;1
210955;2021;12;75;1
210955;2022;12;75;1
211065;2022;12;75;1
211107;2021;12;75;1
211107;2022;12;75;1
211120;2020;12;75;1
211120;2021;12;75;1
211120;2022;12;75;1
211163;2021;12;75;1
211163;2022;12;75;1
211167;2021;12;75;1
211167;2022;12;75;1
211172;2022;12;75;1
211176;2021;12;75;1
211176;2022;12;75;1
211178;2021;12;75;1
211178;2022;12;75;1
211180;2022;12;75;1
211220;2021;12;75;1
211220;2022;12;75;1
211223;2021;12;75;1
211223;2022;12;75;1
211245;2022;12;75;1
211290;2022;12;75;1
220040;2021;12;75;1
220040;2022;12;75;1
220070;2022;12;75;1
220090;2021;12;75;1
220090;2022;12;75;1
220140;2022;12;75;1
220155;2022;12;75;1
220330;2022;12;75;1
220430;2022;12;75;1
220460;2022;12;75;1
220470;2022;12;75;1
220650;2021;12;75;1
220650;2022;12;75;1
220667;2021;12;75;1
220667;2022;12;75;1
220730;2021;12;75;1
220730;2022;12;75;1
220810;2022;12;75;1
221038;2022;12;75;1
221130;2022;12;75;1
221140;2022;12;75;1
221170;2022;12;75;1
230125;2022;12;75;1
230490;2022;12;75;1
230560;2022;12;75;1
230680;2022;12;75;1
230730;2022;12;75;1
230790;2022;12;75;1
230810;2022;12;75;4
230830;2021;12;75;2
231000;2020;12;75;1
231000;2021;12;75;1
231000;2022;12;75;1
231010;2021;12;75;1
231010;2022;12;75;1
231060;2022;12;75;1
231090;2021;12;75;1
231090;2022;12;75;1
231110;2022;12;75;1
231260;2022;12;75;1
231370;2021;12;75;1
231370;2022;12;75;1
240810;2022;12;75;2
250010;2022;12;75;1
250050;2019;12;58;1
250050;2020;12;75;1
250050;2021;12;75;1
250050;2022;12;75;1
250077;2021;12;75;1
250077;2022;12;75;1
250270;2019;12;58;1
250270;2020;12;75;1
250360;2019;12;58;1
250415;2019;12;58;1
250415;2020;12;75;1
250415;2021;12;75;1
250415;2022;12;75;1
250440;2019;12;58;1
250440;2020;12;75;1
250440;2021;12;75;1
250440;2022;12;75;1
250480;2020;12;75;1
250480;2021;12;75;1
250480;2022;12;75;1
250600;2020;12;75;1
250600;2021;12;75;1
250600;2022;12;75;2
250640;2020;12;75;1
250670;2020;12;75;1
250670;2021;12;75;1
250670;2022;12;75;1
250690;2021;12;75;1
250690;2022;12;75;1
250730;2019;12;58;1
250730;2020;12;75;1
250730;2021;12;75;1
250855;2019;12;58;1
250855;2020;12;75;1
250855;2021;12;75;1
250855;2022;12;75;1
250939;2021;12;75;1
250939;2022;12;75;1
250970;2019;12;60;1
250970;2020;12;75;1
250970;2021;12;75;1
250980;2019;12;58;1
250980;2020;12;75;1
250980;2021;12;75;1
250980;2022;12;75;1
251080;2020;12;75;1
251080;2021;12;75;1
251080;2022;12;75;1
251100;2021;12;75;1
251100;2022;12;75;1
251160;2019;12;58;1
251160;2020;12;75;1
251160;2021;12;75;1
251160;2022;12;75;1
251170;2019;12;58;1
251310;2022;12;75;1
251320;2021;12;75;1
251320;2022;12;75;1
251335;2020;12;75;1
251335;2021;12;75;1
251335;2022;12;75;1
251350;2019;12;58;1
251350;2020;12;75;1
251350;2021;12;75;1
251350;2022;12;75;1
251360;2019;12;58;1
251380;2019;12;58;1
251390;2022;12;75;1
251430;2021;12;75;1
251455;2021;12;75;1
251455;2022;12;75;1
251470;2020;12;75;1
251470;2021;12;75;1
251500;2020;12;75;1
251570;2022;12;75;1
251675;2021;12;75;1
251675;2022;12;75;1
251700;2021;12;75;1
251700;2022;12;75;1
251710;2020;12;75;1
251710;2021;12;75;1
251710;2022;12;75;1
251720;2019;12;58;1
251720;2020;12;58;1
251720;2021;12;58;1
260345;2019;12;58;1
260345;2020;12;75;1
260345;2021;12;75;1
260345;2022;12;75;1
260515;2019;12;58;1
260515;2020;12;75;1
260515;2021;12;75;1
260515;2022;12;75;1
260915;2022;12;75;1
261280;2022;12;75;1
270170;2019;12;60;1
270170;2020;12;75;1
270170;2021;12;75;1
270170;2022;12;75;1
270490;2021;12;75;1
270490;2022;12;75;1
270550;2021;12;75;2
270550;2022;12;75;2
270810;2022;12;75;1
270860;2021;12;75;2
270860;2022;12;75;2
270900;2021;12;75;1
270900;2022;12;75;1
280030;2021;12;75;6
280030;2022;12;75;6
280290;2021;12;75;1
280290;2022;12;75;1
280320;2022;12;75;1
280670;2019;12;60;2
280670;2020;12;75;2
280670;2021;12;75;2
280670;2022;12;75;2
280760;2021;12;75;1
280760;2022;12;75;1
290020;2022;12;75;1
290070;2021;12;75;1
290070;2022;12;75;1
290115;2021;12;75;1
290115;2022;12;75;1
290140;2021;12;75;1
290140;2022;12;75;1
290150;2022;12;75;1
290170;2021;12;75;1
290170;2022;12;75;1
290190;2021;12;75;1
290190;2022;12;75;1
290210;2021;12;75;1
290210;2022;12;75;1
290230;2021;12;75;1
290230;2022;12;75;1
290250;2019;12;58;1
290250;2020;12;75;1
290323;2022;12;75;1
290327;2020;12;75;1
290327;2021;12;75;1
290327;2022;12;75;1
290350;2021;12;75;1
290350;2022;12;75;1
290360;2020;12;75;1
290360;2022;12;75;1
290395;2019;12;59;1
290405;2022;12;75;1
290450;2022;12;75;1
290470;2020;12;75;1
290470;2021;12;75;1
290470;2022;12;75;1
290510;2020;12;75;1
290510;2021;12;75;1
290510;2022;12;75;1
290520;2020;12;75;1
290520;2021;12;75;1
290520;2022;12;75;1
290530;2021;12;75;1
290530;2022;12;75;1
290560;2021;12;75;1
290560;2022;12;75;1
290685;2021;12;75;1
290685;2022;12;75;1
290687;2021;12;75;1
290687;2022;12;75;1
290700;2021;12;75;1
290700;2022;12;75;1
290750;2022;12;75;1
290840;2021;12;75;1
290840;2022;12;75;1
290850;2021;12;75;1
290850;2022;12;75;1
290960;2022;12;75;1
291010;2020;12;75;1
291010;2021;12;75;1
291010;2022;12;75;1
291050;2021;12;75;1
291050;2022;12;75;1
291060;2021;12;75;1
291060;2022;12;75;1
291070;2021;12;75;1
291070;2022;12;75;1
291125;2021;12;75;1
291125;2022;12;75;1
291150;2021;12;75;1
291150;2022;12;75;1
291165;2022;12;75;1
291185;2021;12;75;1
291185;2022;12;75;1
291240;2022;12;75;1
291400;2021;12;75;1
291400;2022;12;75;1
291450;2021;12;75;1
291450;2022;12;75;1
291560;2022;12;75;1
291580;2022;12;75;1
291800;2022;12;75;1
291820;2021;12;75;1
291820;2022;12;75;1
291835;2019;12;59;1
291840;2020;12;75;1
291840;2021;12;75;1
291840;2022;12;75;1
291915;2019;12;59;1
291915;2020;12;75;1
291915;2021;12;75;1
291915;2022;12;75;1
291920;2019;12;59;1
291920;2020;12;75;1
291920;2021;12;75;1
291920;2022;12;75;1
292010;2022;12;75;1
292205;2022;12;75;1
292220;2022;12;75;1
292260;2022;12;75;1
292265;2020;12;75;1
292265;2021;12;75;1
292265;2022;12;75;1
292270;2021;12;75;1
292270;2022;12;75;1
292305;2022;12;75;1
292380;2022;12;75;1
292410;2021;12;75;1
292410;2022;12;75;1
292465;2021;12;75;1
292465;2022;12;75;1
292580;2021;12;75;1
292580;2022;12;75;1
292593;2021;12;75;1
292593;2022;12;75;1
292610;2021;12;75;1
292610;2022;12;75;1
292630;2022;12;75;1
292650;2021;12;75;1
292650;2022;12;75;1
292660;2021;12;75;1
292660;2022;12;75;1
292760;2020;12;75;1
292760;2021;12;75;1
292800;2021;12;75;1
292800;2022;12;75;1
292830;2021;12;75;1
292830;2022;12;75;1
292850;2021;12;75;1
292850;2022;12;75;1
292880;2021;12;75;1
292880;2022;12;75;1
292895;2021;12;75;1
292925;2020;12;75;1
292925;2021;12;75;1
292925;2022;12;75;1
292940;2021;12;75;1
292940;2022;12;75;1
293050;2020;12;75;2
293050;2021;12;75;2
293050;2022;12;75;2
293076;2021;12;75;1
293076;2022;12;75;1
293130;2022;12;75;1
293140;2021;12;75;1
293140;2022;12;75;1
293150;2020;12;75;1
293150;2021;12;75;1
293150;2022;12;75;1
293170;2021;12;75;1
293170;2022;12;75;1
293190;2022;12;75;1
293220;2022;12;75;1
293245;2020;12;75;1
293245;2021;12;75;1
293245;2022;12;75;1
293250;2021;12;75;1
293250;2022;12;75;1
293300;2021;12;75;1
293300;2022;12;75;1
293305;2020;12;75;1
293305;2021;12;75;1
293305;2022;12;75;1
293330;2018;12;60;2
293330;2019;12;60;2
293345;2021;12;75;1
293345;2022;12;75;1
293350;2021;12;75;1
310350;2021;12;75;1
310350;2022;12;75;1
310740;2021;12;75;2
310740;2022;12;75;3
310900;2019;12;60;3
310900;2020;12;75;3
310900;2021;12;75;3
310900;2022;12;75;3
310925;2021;12;75;1
310925;2022;12;75;1
311120;2019;12;59;1
311120;2020;12;75;1
311120;2021;12;75;1
311120;2022;12;75;1
311200;2022;12;75;1
311860;2020;12;75;8
311860;2021;12;75;8
311860;2022;12;75;8
312020;2021;12;75;1
312020;2022;12;75;1
312250;2021;12;75;1
312250;2022;12;75;1
312520;2021;12;75;1
312520;2022;12;75;1
312650;2022;12;75;2
312980;2021;12;75;6
312980;2022;12;75;6
313150;2021;12;75;1
313150;2022;12;75;1
313690;2021;12;75;1
313690;2022;12;75;1
313900;2021;12;75;1
313900;2022;12;75;1
314015;2021;12;75;1
314015;2022;12;75;1
314350;2021;12;75;1
314350;2022;12;75;1
314390;2021;12;75;1
314390;2022;12;75;1
314410;2021;12;75;1
314410;2022;12;75;1
314470;2022;12;75;1
314700;2022;12;75;1
314800;2020;12;75;2
314800;2021;12;75;2
314800;2022;12;75;2
315170;2019;12;58;1
315170;2020;12;75;1
315170;2021;12;75;1
315170;2022;12;75;1
315460;2021;12;75;4
315460;2022;12;75;4
315480;2020;12;75;1
315480;2021;12;75;1
315480;2022;12;75;1
316280;2022;12;75;1
316570;2021;12;75;1
316570;2022;12;75;1
316690;2021;12;75;1
316690;2022;12;75;1
317010;2019;12;60;1
317010;2020;12;75;1
317010;2021;12;75;1
317010;2022;12;75;1
317070;2021;12;75;2
317070;2022;12;75;2
317080;2021;12;75;2
317080;2022;12;75;2
317190;2021;12;75;1
317190;2022;12;75;1
317200;2021;12;75;1
317200;2022;12;75;1
320030;2019;12;60;1
320030;2020;12;75;1
320030;2021;12;75;1
320030;2022;12;75;1
320070;2021;12;75;1
320070;2022;12;75;1
320090;2020;12;75;1
320090;2021;12;75;1
320090;2022;12;75;1
320160;2020;12;75;1
320160;2021;12;75;1
320160;2022;12;75;1
320200;2019;12;58;1
320200;2020;12;75;1
320200;2021;12;75;1
320200;2022;12;75;1
320230;2019;12;60;1
320230;2020;12;60;1
320230;2022;12;60;1
320260;2019;12;58;1
320260;2020;12;75;1
320260;2021;12;75;1
320260;2022;12;75;1
320290;2020;12;75;1
320290;2021;12;75;1
320290;2022;12;75;1
320300;2021;12;75;1
320300;2022;12;75;1
320310;2022;12;75;1
320316;2022;12;75;1
320320;2021;12;75;2
320320;2022;12;75;2
320335;2019;12;58;1
320335;2020;12;75;1
320335;2021;12;75;1
320335;2022;12;75;1
320400;2019;12;59;1
320400;2020;12;75;1
320400;2021;12;75;1
320400;2022;12;75;1
320430;2021;12;75;1
320430;2022;12;75;1
320460;2020;12;75;1
320460;2021;12;75;1
320460;2022;12;75;1
320470;2019;12;58;1
320490;2020;12;75;1
320490;2021;12;75;1
320490;2022;12;75;1
320501;2019;12;59;1
320501;2020;12;75;1
320501;2021;12;75;1
320501;2022;12;75;1
320506;2020;12;75;1
320506;2021;12;75;1
320506;2022;12;75;1
320510;2019;12;58;2
330020;2021;12;75;1
330020;2022;12;75;1
330022;2022;12;75;1
330025;2021;12;75;1
330025;2022;12;75;1
330040;2022;12;75;1
330070;2021;12;75;4
330070;2022;12;75;4
330130;2021;12;75;1
330130;2022;12;75;1
330140;2021;12;75;1
330140;2022;12;75;1
330180;2021;12;75;1
330180;2022;12;75;1
330187;2021;12;75;1
330187;2022;12;75;1
330190;2021;12;75;1
330190;2022;12;75;1
330230;2022;12;75;1
330270;2021;12;75;4
330270;2022;12;75;4
330330;2022;12;75;2
330395;2022;12;75;1
